,Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
13,24,Wii Sports,Wii,2006.0,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65,https://www.vgchartz.com/games/boxart/full_2258645AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-sports_banner41.jpg
51,62,Mario Kart 8 Deluxe,NS,2017.0,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05,https://www.vgchartz.com/games/boxart/full_895207AmericaFrontccc.png,https://www.vgchartz.com/games/banners/279451153114ccc.png
56,67,Super Mario Bros.,NES,1985.0,Platform,Nintendo  ,Nintendo EAD  ,10.0,8.2,29.08,3.58,6.81,0.77,40.24,https://www.vgchartz.com/games/boxart/8972270ccc.jpg,https://www.vgchartz.com/games/banners/super-mario-bros_banner70.jpg
64,75,Mario Kart Wii,Wii,2008.0,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98,https://www.vgchartz.com/games/boxart/full_8932480AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/mario-kart-wii_banner5.jpg
77,88,Wii Sports Resort,Wii,2009.0,Sports,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9,https://www.vgchartz.com/games/boxart/full_7295041AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-sports-resort_banner35.jpg
82,93,Pokémon Red / Green / Blue Version,GB,1998.0,Role-Playing,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1.0,31.37,https://www.vgchartz.com/games/boxart/full_6442337AmericaFrontccc.png,https://www.vgchartz.com/games/banners/pokemon-red-green-blue-version_banner56.jpg
86,97,New Super Mario Bros.,DS,2006.0,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85,https://www.vgchartz.com/games/boxart/full_2916260AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/new-super-mario-bros_banner10.png
87,98,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51,https://www.vgchartz.com/games/boxart/full_1410872AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/new-super-mario-bros-wii_banner41.jpg
88,99,Tetris,GB,1989.0,Puzzle,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26,https://www.vgchartz.com/games/boxart/3740960ccc.jpg,https://www.vgchartz.com/games/banners/tetris_banner43.jpg
96,107,Duck Hunt,NES,1985.0,Shooter,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31,https://www.vgchartz.com/games/boxart/full_6570468AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/duck-hunt_banner67.jpg
97,108,Wii Play,Wii,2007.0,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92,https://www.vgchartz.com/games/boxart/full_6165969AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-play_banner88.jpg
100,111,Super Smash Bros. Ultimate,NS,2018.0,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95,https://www.vgchartz.com/games/boxart/full_8423750AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5351402221289ccc.png
107,118,The Legend of Zelda: Breath of the Wild,NS,2017.0,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46,https://www.vgchartz.com/games/boxart/full_4436858AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9920729118753ccc.jpeg
117,128,Kinect Adventures!,X360,2010.0,Party,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1,https://www.vgchartz.com/games/boxart/full_kinect-adventures_386AmericaFront.jpg,https://www.vgchartz.com/games/banners/kinect-adventures_banner53.jpg
120,131,Nintendogs,DS,2005.0,Simulation,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68,https://www.vgchartz.com/games/boxart/full_4870931AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/nintendogs_banner74.jpg
123,134,Mario Kart DS,DS,2005.0,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26,https://www.vgchartz.com/games/boxart/full_9551652AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/mario-kart-ds_banner61.png
124,135,Pokémon Gold / Silver Version,GB,2000.0,Role-Playing,Nintendo  ,Game Freak  ,9.2,,9.0,6.18,7.2,0.71,23.1,https://www.vgchartz.com/games/boxart/full_1344180AmericaFrontccc.png,https://www.vgchartz.com/games/banners/pokemon-gold-silver-version_banner95.jpg
125,136,Super Mario Odyssey,NS,2017.0,Platform,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71,https://www.vgchartz.com/games/boxart/full_1659701AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5033678152831ccc.png
127,138,Wii Fit,Wii,2008.0,Sports,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7,https://www.vgchartz.com/games/boxart/full_3619557AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-fit_banner59.png
132,143,Wii Fit Plus,Wii,2009.0,Sports,Nintendo  ,Nintendo EAD  ,8.0,,9.01,8.51,2.53,1.76,21.81,https://www.vgchartz.com/games/boxart/full_2716475AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-fit-plus_banner11.jpg
136,147,Super Mario World,SNES,1991.0,Platform,Nintendo  ,Nintendo EAD  ,8.5,,12.78,3.75,3.54,0.55,20.61,https://www.vgchartz.com/games/boxart/full_1091265AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-mario-world_banner30.jpg
137,148,Grand Theft Auto V,PS3,2013.0,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32,https://www.vgchartz.com/games/boxart/full_6510540AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/439642865884ccc.png
145,156,Marvel's Spider-Man,PS4,2018.0,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76,https://www.vgchartz.com/games/boxart/full_7960565AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4431985120133ccc.png
157,168,God of War (2018),PC,2018.0,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,10.0,2.83,2.17,0.13,1.02,6.15,https://www.vgchartz.com/games/boxart/full_3094030AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1491652120125ccc.png
158,169,Grand Theft Auto V,PS4,2014.0,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39,https://www.vgchartz.com/games/boxart/full_5563178AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/407999883196ccc.png
162,173,Brain Age: Train Your Brain in Minutes a Day,DS,2006.0,Misc,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16,https://www.vgchartz.com/games/boxart/full_7749365AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/brain-age-train-your-brain-in-minutes-a-day_banner37.png
166,177,Mario Kart 7,3DS,2011.0,Racing,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3.0,1.11,15.49,https://www.vgchartz.com/games/boxart/full_mario-kart-7_649AmericaFront.jpg,https://www.vgchartz.com/games/banners/mario-kart-7_banner22.jpg
169,180,Super Mario Land,GB,1989.0,Platform,Nintendo  ,Nintendo R&D1  ,,,10.83,2.71,4.18,0.42,18.14,https://www.vgchartz.com/games/boxart/3345559ccc.jpg,https://www.vgchartz.com/games/banners/super-mario-land_banner93.jpg
170,181,Pokémon Diamond / Pearl Version,DS,2007.0,Role-Playing,Nintendo  ,Game Freak  ,8.6,,6.38,4.47,6.04,1.36,18.25,https://www.vgchartz.com/games/boxart/full_2730687AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pokemon-diamond-pearl-version_banner93.png
173,184,Super Mario Party,NS,2018.0,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",7.3,,2.12,1.64,0.85,0.36,4.97,https://www.vgchartz.com/games/boxart/full_4963230AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1425440222153ccc.png
174,185,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81,https://www.vgchartz.com/games/boxart/3887656ccc.jpg,https://www.vgchartz.com/games/banners/grand-theft-auto-san-andreas_banner79.jpg
175,186,Super Mario Bros. 3,NES,1990.0,Platform,Nintendo  ,Nintendo R&D2  ,,,9.54,3.44,3.84,0.46,17.28,https://www.vgchartz.com/games/boxart/4113056ccc.jpg,https://www.vgchartz.com/games/banners/92944906458ccc.png
188,199,Pokémon X/Y,3DS,2013.0,Role-Playing,Nintendo  ,Game Freak  ,8.9,9.7,5.68,5.06,4.4,0.99,16.13,https://www.vgchartz.com/games/boxart/full_9470074AmericaFrontccc.png,https://www.vgchartz.com/games/banners/938419671449ccc.jpg
190,201,Pokémon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo  ,Game Freak  ,9.0,,6.02,4.34,3.82,0.99,15.17,https://www.vgchartz.com/games/boxart/full_4653765AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/751254691783ccc.png
191,202,Uncharted 4: A Thief's End,PS4,2016.0,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33,https://www.vgchartz.com/games/boxart/full_2804791AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/382891177189ccc.jpg
192,203,Pokémon Ruby / Sapphire Version,GBA,2003.0,Role-Playing,Nintendo  ,Game Freak  ,8.8,,6.06,3.9,5.38,0.5,15.85,https://www.vgchartz.com/games/boxart/full_4771333AmericaFrontccc.png,https://www.vgchartz.com/games/banners/pokemon-ruby-sapphire-version_banner15.jpg
193,204,Grand Theft Auto: Vice City,PS2,2002.0,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15,https://www.vgchartz.com/games/boxart/827563ccc.jpg,https://www.vgchartz.com/games/banners/grand-theft-auto-vice-city_banner42.jpg
200,211,Grand Theft Auto V,X360,2013.0,Action,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86,https://www.vgchartz.com/games/boxart/full_9218923AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/112253965883ccc.png
201,212,Pokémon Black / White Version,DS,2011.0,Role-Playing,Nintendo  ,Game Freak  ,8.6,9.0,5.51,3.2,5.66,0.8,15.18,https://www.vgchartz.com/games/boxart/full_2983232AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pokemon-black-white-version_banner84.jpg
203,214,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09,https://www.vgchartz.com/games/boxart/full_4990510AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/405786285359ccc.jpg
217,228,Sonic the Hedgehog,GEN,1991.0,Platform,Sega  ,Sonic Team  ,,,3.03,0.91,0.26,0.13,4.34,https://www.vgchartz.com/games/boxart/4697634ccc.jpg,https://www.vgchartz.com/games/banners/sonic-the-hedgehog_banner60.jpg
221,232,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98,https://www.vgchartz.com/games/boxart/full_5113832AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/gran-turismo-3-a-spec_banner27.jpg
222,233,Brain Age 2: More Training in Minutes a Day,DS,2007.0,Misc,Nintendo  ,Nintendo SDD  ,8.0,,3.43,5.36,5.32,1.18,15.29,https://www.vgchartz.com/games/boxart/full_1039696AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/brain-age-2-more-training-in-minutes-a-day_banner28.png
223,234,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-3_banner39.jpg
224,235,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-black-ops_banner33.jpg
225,236,Pokémon Yellow: Special Pikachu Edition,GB,1999.0,Role-Playing,Nintendo  ,Game Freak  ,8.7,,5.89,5.04,3.12,0.59,14.64,https://www.vgchartz.com/games/boxart/4260472ccc.jpg,https://www.vgchartz.com/games/banners/pokemon-yellow-special-pikachu-edition_banner34.png
228,239,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13,https://www.vgchartz.com/games/boxart/full_8373567AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/halo-3_banner12.png
229,240,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo  ,Game Freak  ,,,4.78,3.98,3.15,0.82,12.73,https://www.vgchartz.com/games/boxart/full_5184866AmericaFrontccc.png,https://www.vgchartz.com/games/banners/324016381906ccc.jpg
240,251,Red Dead Redemption 2,PS4,2018.0,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94,https://www.vgchartz.com/games/boxart/full_4653215AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6146653140683ccc.png
241,252,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision  ,Treyarch  ,,,8.27,4.32,0.07,1.2,13.86,https://www.vgchartz.com/games/boxart/full_1977964AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/21918570716ccc.jpg
242,253,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision  ,Treyarch  ,,,4.99,5.88,0.65,2.28,13.8,https://www.vgchartz.com/games/boxart/full_4649679AmericaFrontccc.png,https://www.vgchartz.com/games/banners/589869270715ccc.jpg
245,256,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53,https://www.vgchartz.com/games/boxart/full_809251AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-2_banner78.jpg
247,258,Call of Duty: WWII,PS4,2017.0,Shooter,Activision  ,Sledgehammer Games  ,8.0,,4.67,6.21,0.4,2.12,13.4,https://www.vgchartz.com/games/boxart/full_4380292AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8997365170599ccc.png
248,259,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo  ,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33,https://www.vgchartz.com/games/boxart/full_9872028AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/557168770735ccc.jpg
249,260,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-3_banner80.jpg
250,261,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91,https://www.vgchartz.com/games/boxart/full_4169332AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-smash-bros-brawl_banner26.png
251,262,Grand Theft Auto III,PS2,2001.0,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1,https://www.vgchartz.com/games/boxart/3570928ccc.jpg,https://www.vgchartz.com/games/banners/grand-theft-auto-iii_banner47.jpg
256,267,Minecraft,X360,2013.0,Misc,Microsoft Studios  ,Mojang  ,,,5.96,2.94,0.02,0.9,9.82,https://www.vgchartz.com/games/boxart/full_7845034AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/187271551765ccc.jpg
258,269,Animal Crossing: New Leaf,3DS,2013.0,Simulation,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9,https://www.vgchartz.com/games/boxart/full_7774244AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/798196271137ccc.jpg
259,270,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56,https://www.vgchartz.com/games/boxart/full_super-mario-3dland_167AmericaFront.jpg,https://www.vgchartz.com/games/banners/super-mario-3d-land_banner7.jpg
