Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
11,Mario Kart,Series,1992,Racing,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4399408AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8501245226188ccc.png
12,Final Fantasy,Series,1987,Role-Playing,Square  ,Square  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6200477AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9084649226241ccc.png
13,Grand Theft Auto V,All,2013,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5096432AmericaFrontccc.png,https://www.vgchartz.com/games/banners/1445064227429ccc.png
14,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9916295AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2772909226103ccc.png
15,Need for Speed,Series,1994,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3250466AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4683151226227ccc.png
16,Madden NFL,Series,1988,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9120390AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1750202226229ccc.png
17,Resident Evil,Series,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3812017AmericaFrontccc.png,https://www.vgchartz.com/games/banners/929913226039ccc.png
18,NBA 2K,Series,1999,Sports,Sega  ,Visual Concepts  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_342983AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4932752226152ccc.png
19,The Legend of Zelda,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1095110AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4259172226035ccc.png
20,Wii Sports,Series,2006,Sports,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3350935AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3834203226191ccc.png
21,Pro Evolution Soccer/eFootball,Series,1995,Sports,Konami  ,Konami  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6172577AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8499014226233ccc.png
22,Tomb Raider,Series,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4657184AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2531364226238ccc.png
23,Dragon Quest,Series,1986,Role-Playing,Square  ,ArtePiazza  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_126001AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5654396226239ccc.png
24,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65,https://www.vgchartz.com/games/boxart/full_2258645AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-sports_banner41.jpg
25,Halo,Series,2001,Shooter,Microsoft Game Studios  ,Bungie  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_62059AmericaFrontccc.png,https://www.vgchartz.com/games/banners/4043671226032ccc.png
26,Gran Turismo,Series,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6787813AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8792540226066ccc.png
27,Battlefield,Series,2002,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9618625AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2440872226219ccc.png
28,Monster Hunter,Series,2004,Role-Playing,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7532562AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7044909226041ccc.png
29,Sonic the Hedgehog,Series,1991,Platform,Sega  ,Sonic Team  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6967040AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1823977226081ccc.png
30,Worms,Series,1995,Strategy,Team17  ,Team17  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1866696AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2986812228118ccc.png
31,Borderlands,Series,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7357112AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5971332226067ccc.png
32,Mortal Kombat,Series,1992,Fighting,Midway  ,Avalanche Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8466695AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/22729226258ccc.png
33,Animal Crossing,Series,2002,Simulation,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5995252AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3415836226190ccc.png
34,Just Dance,Series,2009,Music,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3570409AmericaFrontccc.png,https://www.vgchartz.com/games/banners/881584226101ccc.png
35,PlayerUnknown's Battlegrounds,All,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7050830AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3597057227625ccc.png
36,PUBG,Series,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6424393AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8138619226341ccc.png
37,WWE 2K,Series,2000,Fighting,THQ  ,Visual Concepts  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_49407AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7949875226269ccc.png
38,Super Smash Bros.,Series,1999,Fighting,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8522156AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2021743226193ccc.png
39,Counter-Strike,Series,2000,Shooter,Valve  ,Valve  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6829881AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7489253226175ccc.png
40,Donkey Kong,Series,1981,Platform,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1999242AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5983125226203ccc.png
41,Red Dead,Series,2004,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6060997AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3890479226235ccc.png
42,The Oregon Trail,Series,2071,Education,MECC  ,MECC  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4881908AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3744434226167ccc.png
43,Mario Party,Series,1999,Party,Nintendo  ,Hudson Soft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3515224AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7945237226170ccc.png
44,Dragon Ball,Series,1986,Role-Playing,Bandai  ,Tose  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2251346AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5298150226286ccc.png
45,Civilization,Series,1991,Strategy,Microprose  ,Firaxis Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9940273AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9167979226068ccc.png
46,The Elder Scrolls,Series,1994,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9103473AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8891858226283ccc.png
47,Metal Gear,Series,1987,Action-Adventure,Konami  ,Konami  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2853547AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4867148226234ccc.png
48,Tekken,Series,1994,Fighting,Namco  ,Bandai Namco Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7174839AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2095321226204ccc.png
49,Far Cry,Series,2004,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8519936AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9617126226102ccc.png
50,God of War,Series,2005,Action,Sony Computer Entertainment  ,SIE Santa Monica Studio  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5741036AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4827823226282ccc.png
51,The Walking Dead: Telltale Games Series,Series,2012,Adventure,Telltale Games  ,Telltale Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6321657AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3274184228039ccc.png
52,Bejeweled,Series,2001,Puzzle,PopCap Games  ,PopCap Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8660779AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2204926226228ccc.png
53,Crash Bandicoot,Series,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2715474AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3468418226264ccc.png
54,Diablo,Series,1997,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3500762AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2271023226172ccc.png
55,Lego Star Wars,Series,2005,Action-Adventure,Eidos Interactive  ,TT Fusion  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1707AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5544810226268ccc.png
56,The Witcher,Series,2007,Role-Playing,Atari  ,CD Projekt Red Studio  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9734805AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3586616226111ccc.png
57,Warriors,Series,1997,Action,KOEI  ,Omega Force  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3351915AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3951486226375ccc.png
58,Street Fighter,Series,1987,Fighting,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1218886AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9125603226040ccc.png
59,Fallout,Series,1997,Role-Playing,Interplay Productions  ,Interplay Entertainment  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7478122AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3713879226290ccc.png
60,Uncharted,Series,2007,Shooter,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2491344AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9533457226148ccc.png
61,Wii Fit,Series,2008,Misc,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4140328AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6221548226182ccc.png
62,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05,https://www.vgchartz.com/games/boxart/full_895207AmericaFrontccc.png,https://www.vgchartz.com/games/banners/279451153114ccc.png
63,Red Dead Redemption 2,All,2018,Action-Adventure,Rockstar Games  ,Rockstar Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5942658AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8520717227430ccc.png
64,Star Wars: Battlefront,Series,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1870948AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3886140226226ccc.png
65,Harry Potter,Series,2001,Action-Adventure,Electronic Arts  ,Griptonite Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5665526AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9011625226289ccc.png
66,World of WarCraft,Series,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7858118AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/96878226363ccc.png
67,Super Mario Bros.,NES,1985,Platform,Nintendo  ,Nintendo EAD  ,10.0,8.2,29.08,3.58,6.81,0.77,40.24,https://www.vgchartz.com/games/boxart/8972270ccc.jpg,https://www.vgchartz.com/games/banners/super-mario-bros_banner70.jpg
68,Kirby,Series,1992,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_413263AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5294394226214ccc.png
69,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve  ,Valve Corporation  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3053446AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/942746157184ccc.png
70,Guitar Hero,Series,2005,Music,Activision  ,Harmonix  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2714227AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3142213226287ccc.png
71,BioShock,Series,2007,Shooter,2K Games  ,Irrational Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5948706AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9729089226084ccc.png
72,Medal of Honor,Series,1999,Shooter,Electronic Arts  ,"2015, Inc.  ",,,,,,,,https://www.vgchartz.com/games/boxart/full_702042AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1635615226225ccc.png
73,Total War,Series,2000,Strategy,Electronic Arts  ,Creative Assembly  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9133566AmericaFrontccc.png,https://www.vgchartz.com/games/banners/911794226078ccc.png
